Brand, Total Passengers, % of Passengers, Revenue, % of Revenue
Carnival, 5842600, 42.0, 8833190000, 37.1
Seabourn, 33800, 0.2, 345120000, 1.4
Princess, 816300, 5.9, 2065350000, 8.7
P&O Cruises Australia, 127300, 0.9, 134980000, 0.6
P&O Cruises, 241500, 1.7, 466790000, 2.0
Holland America, 384200, 2.8, 1095070000, 4.6
Cunard, 99700, 0.7, 427110000, 1.8
Costa Cruises, 862400, 6.2, 1121190000, 4.7
Carnival, 2528100, 18.2, 1803870000, 7.6
AIDA, 749300, 5.4, 1373710000, 5.8
RCI, 3278500, 23.6, 5054210000, 21.2
Silversea, 48900, 0.4, 391710000, 1.6
Royal Caribbean, 2657900, 19.1, 3048670000, 12.8
Celebrity, 540000, 3.9, 1452300000, 6.1
Azamara, 31700, 0.2, 161530000, 0.7
Norwegian, 1319900, 9.5, 2996280000, 12.6
Regent Seven Seas, 48500, 0.3, 565150000, 2.4
Oceania Cruises, 71100, 0.5, 373140000, 1.6
Norwegian, 1200300, 8.6, 2057990000, 8.6
All Other, 3464800, 24.9, 6951160000, 29.2
Windstar, 23300, 0.2, 63800000, 0.3
Voyages to Antiquity, 7800, 0.1, 21270000, 0.1
Virgin Voyages, 111100, 0.8, 304100000, 1.3
Viking Cruises, 143700, 1.0, 393410000, 1.7
TUI Cruises, 330100, 2.4, 903790000, 3.8
Star Cruises, 80200, 0.6, 219670000, 0.9
Star Clippers, 11700, 0.1, 31900000, 0.1
SeaDream Yacht Club, 3900, 0.0, 10630000, 0.0
Saga Cruises, 38800, 0.3, 106220000, 0.4
Quark Expeditions, 15500, 0.1, 42420000, 0.2
Ponant/Paul Gauguin Cruises, 85400, 0.6, 233920000, 1.0
Phoenix Reisin, 43700, 0.3, 119620000, 0.5
Paradise Cruise Line, 50500, 0.4, 138230000, 0.6
MSC Cruises, 1414700, 10.2, 1539650000, 6.5
Marella Cruises, 102900, 0.7, 281770000, 1.2
Lindblad Expeditions, 17500, 0.1, 47850000, 0.2
Hurtigruten, 122300, 0.9, 334930000, 1.4
Hebridean Island Cruises, 1900, 0.0, 5320000, 0.0
Hapag Lloyd, 48500, 0.3, 132910000, 0.6
Grand Circle Cruise Line, 1900, 0.0, 5320000, 0.0
Fred Olsen, 110700, 0.8%, 303030000, 1.3
Dream Cruises, 264100, 1.9, 723030000, 3.0
Disney, 312200, 2.2, 653450000, 2.7
Crystal, 40800, 0.3, 111640000, 0.5
Celestyal Cruises, 64100, 0.5, 175440000, 0.7
Blount Small Ship Adventures, 3900, 0.0, 10630000, 0.0
American Cruise Lines, 13600, 0.1, 37210000, 0.2
Grand Total,13905800, 100.0, 23834840000, 100.0
